Data Periods,Mode of Travel,Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Segment Traffic (StL Volume),Avg Segment Speed (mph),Avg Segment Travel Time (sec),Free Flow Speed (mph),Free Flow Factor,Vehicle Miles of Travel (StL Volume),Vehicle Hours of Delay (StL Volume),5th Speed Percentile,15th Speed Percentile,50th Speed Percentile,75th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 521594967 / 1,0.059,yes,270,yes,2019-06,3: Wednesday (W-W),5: Late PM (7pm-12am),306,15,15,20.543,0.710,18.04,0.36,8.000,11.000,15.000,17.000,18.000,19.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 521594967 / 1,0.059,yes,270,yes,2019-06,4: Thursday (Th-Th),0: All Day (12am-12am),1761,15,14,20.543,0.716,103.77,2.01,9.000,12.000,15.000,17.000,18.000,19.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 521594967 / 1,0.059,yes,270,yes,2019-06,4: Thursday (Th-Th),1: Early AM (12am-6am),26,13,16,20.543,0.647,1.54,0.04,N/A,N/A,N/A,N/A,N/A,N/A
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 521594967 / 1,0.059,yes,270,yes,2019-06,4: Thursday (Th-Th),2: Peak AM (6am-10am),118,15,14,20.543,0.725,6.94,0.13,11.000,12.000,15.000,17.000,18.000,18.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 521594967 / 1,0.059,yes,270,yes,2019-06,4: Thursday (Th-Th),3: Mid-Day (10am-3pm),377,15,14,20.543,0.713,22.20,0.44,8.000,11.000,15.000,17.000,18.000,20.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 521594967 / 1,0.059,yes,270,yes,2019-06,4: Thursday (Th-Th),4: Peak PM (3pm-7pm),997,15,14,20.543,0.725,58.75,1.09,11.000,12.000,15.000,16.000,17.000,19.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 521594967 / 1,0.059,yes,270,yes,2019-06,4: Thursday (Th-Th),5: Late PM (7pm-12am),243,14,15,20.543,0.686,14.34,0.32,6.000,9.000,15.000,17.000,18.000,21.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 521594967 / 1,0.059,yes,270,yes,2019-06,5: Friday (F-F),0: All Day (12am-12am),1892,15,14,20.543,0.715,111.48,2.16,10.000,12.000,15.000,16.000,17.000,19.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 521594967 / 1,0.059,yes,270,yes,2019-06,5: Friday (F-F),1: Early AM (12am-6am),13,17,13,20.543,0.825,0.77,0.01,N/A,N/A,N/A,N/A,N/A,N/A
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 521594967 / 1,0.059,yes,270,yes,2019-06,5: Friday (F-F),2: Peak AM (6am-10am),44,14,15,20.543,0.698,2.62,0.06,N/A,N/A,N/A,N/A,N/A,N/A
